,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
54,Bogenhausen,48.13909,11.60832,Entire home/apt,88.0,1,507,11,229,68,Middle price,Long term,Commercial host
55,Schwanthalerhöhe,48.13661,11.53075,Entire home/apt,93.0,1,613,11,178,67,Middle price,Medium term,Commercial host
56,Obergiesing,48.11008,11.59345,Entire home/apt,75.0,10,40,1,8,5,Low price,Short term,Private host
57,Neuhausen-Nymphenburg,48.15105,11.53687,Entire home/apt,79.0,6,74,1,263,0,Low price,Long term,Private host
58,Ludwigsvorstadt-Isarvorstadt,48.12401,11.56119,Private room,53.0,2,64,2,239,1,Low price,Long term,Commercial host
59,Maxvorstadt,48.14614,11.54296,Entire home/apt,103.0,1,19,1,115,1,Middle price,Medium term,Private host
60,Tudering-Riem,48.13192,11.70239,Private room,49.0,2,153,1,45,5,Low price,Short term,Private host
61,Berg am Laim,48.12902,11.62117,Entire home/apt,91.0,7,0,1,0,0,Middle price,Short term,Private host
62,Sendling,48.11954,11.54065,Private room,38.0,2,83,1,292,6,Low price,Long term,Private host
63,Sendling-Westpark,48.11848,11.52836,Private room,71.0,1,11,1,365,0,Low price,Long term,Private host
64,Ludwigsvorstadt-Isarvorstadt,48.12926,11.57135,Entire home/apt,359.0,3,57,1,343,2,High price,Long term,Private host
65,Au-Haidhausen,48.13072,11.59324,Entire home/apt,129.0,5,9,1,0,0,Middle price,Short term,Private host
66,Feldmoching-Hasenbergl,48.19329,11.53275,Private room,29.0,7,85,2,81,15,Low price,Short term,Commercial host
67,Au-Haidhausen,48.12356,11.5955,Entire home/apt,49.0,110,47,2,0,0,Low price,Short term,Commercial host
68,Berg am Laim,48.11953,11.64244,Entire home/apt,150.0,2,33,1,363,0,Middle price,Long term,Private host
69,Tudering-Riem,48.10496,11.69867,Private room,40.0,90,36,3,0,0,Low price,Short term,Commercial host
70,Ramersdorf-Perlach,48.08629,11.65956,Private room,65.0,7,22,1,334,1,Low price,Long term,Private host
71,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07739,11.51349,Entire home/apt,95.0,2,14,1,365,0,Middle price,Long term,Private host
72,Untergiesing-Harlaching,48.08084,11.55063,Entire home/apt,60.0,2,157,1,357,14,Low price,Long term,Private host
73,Laim,48.13853,11.51127,Entire home/apt,208.0,2,366,1,31,25,High price,Short term,Private host
74,Tudering-Riem,48.11064,11.70094,Entire home/apt,75.0,2,46,1,350,6,Low price,Long term,Private host
75,Tudering-Riem,48.12988,11.7017,Private room,50.0,3,59,1,0,0,Low price,Short term,Private host
76,Au-Haidhausen,48.12085,11.57736,Private room,65.0,5,4,1,348,0,Low price,Long term,Private host
77,Maxvorstadt,48.14468,11.56131,Entire home/apt,210.0,3,33,6,349,0,High price,Long term,Commercial host
78,Laim,48.14149,11.50408,Private room,120.0,1,2,1,365,0,Middle price,Long term,Private host
79,Tudering-Riem,48.11636,11.6986,Entire home/apt,135.0,2,63,1,325,2,Middle price,Long term,Private host
80,Milbertshofen-Am Hart,48.17887,11.56708,Entire home/apt,80.0,28,0,4,51,0,Middle price,Short term,Commercial host
81,Tudering-Riem,48.12775,11.7013,Private room,69.0,30,49,1,244,1,Low price,Long term,Private host
82,Altstadt-Lehel,48.13652,11.58869,Entire home/apt,75.0,10,65,1,0,0,Low price,Short term,Private host
83,Sendling-Westpark,48.11019,11.50695,Entire home/apt,90.0,360,0,1,365,0,Middle price,Long term,Private host
84,Ramersdorf-Perlach,48.09712,11.60973,Private room,49.0,10,20,2,106,0,Low price,Medium term,Commercial host
85,Schwabing-Freimann,48.15943,11.58208,Entire home/apt,134.0,2,32,1,206,1,Middle price,Long term,Private host
86,Maxvorstadt,48.14683,11.57861,Entire home/apt,99.0,90,24,1,363,0,Middle price,Long term,Private host
87,Pasing-Obermenzing,48.15561,11.47189,Private room,35.0,2,139,1,353,10,Low price,Long term,Private host
88,Milbertshofen-Am Hart,48.17877,11.56679,Entire home/apt,50.0,30,1,4,180,0,Low price,Medium term,Commercial host
89,Neuhausen-Nymphenburg,48.14658,11.53331,Private room,38.0,4,183,2,115,2,Low price,Medium term,Commercial host
90,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08367,11.52772,Private room,58.0,21,23,1,183,0,Low price,Long term,Private host
91,Altstadt-Lehel,48.13613,11.58079,Entire home/apt,110.0,90,5,1,363,0,Middle price,Long term,Private host
92,Obergiesing,48.11723,11.58942,Entire home/apt,49.0,90,109,2,318,6,Low price,Long term,Commercial host
93,Hadern,48.12917,11.48554,Entire home/apt,150.0,3,80,4,154,6,Middle price,Medium term,Commercial host
94,Ramersdorf-Perlach,48.09725,11.64717,Private room,42.0,3,75,1,40,3,Low price,Short term,Private host
95,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09307,11.52147,Private room,42.0,16,26,1,359,0,Low price,Long term,Private host
96,Sendling,48.11397,11.54844,Private room,68.0,2,92,1,0,0,Low price,Short term,Private host
97,Schwabing-West,48.17723,11.58283,Entire home/apt,120.0,30,1,4,357,0,Middle price,Long term,Commercial host
98,Ramersdorf-Perlach,48.09748,11.63993,Entire home/apt,350.0,2,169,3,265,7,High price,Long term,Commercial host
99,Neuhausen-Nymphenburg,48.14865,11.53318,Entire home/apt,90.0,3,51,2,21,0,Middle price,Short term,Commercial host
100,Ramersdorf-Perlach,48.09888,11.61023,Private room,55.0,3,31,2,331,6,Low price,Long term,Commercial host
101,Ludwigsvorstadt-Isarvorstadt,48.12446,11.56009,Entire home/apt,43.0,60,5,2,159,0,Low price,Medium term,Commercial host
102,Sendling-Westpark,48.11461,11.53505,Private room,55.0,1,72,1,346,3,Low price,Long term,Private host
103,Milbertshofen-Am Hart,48.1787,11.56812,Entire home/apt,50.0,30,2,4,17,0,Low price,Short term,Commercial host
104,Milbertshofen-Am Hart,48.17877,11.56679,Entire home/apt,50.0,30,2,4,0,0,Low price,Short term,Commercial host
105,Maxvorstadt,48.15258,11.56128,Entire home/apt,300.0,3,237,1,77,4,High price,Short term,Private host
106,Tudering-Riem,48.10904,11.68701,Private room,49.0,90,16,3,176,0,Low price,Medium term,Commercial host
107,Neuhausen-Nymphenburg,48.14449,11.51333,Private room,40.0,2,128,1,1,0,Low price,Short term,Private host
108,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0973,11.5102,Entire home/apt,49.0,85,55,1,146,0,Low price,Medium term,Private host
109,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.07973,11.50628,Entire home/apt,44.0,3,13,2,0,0,Low price,Short term,Commercial host
110,Maxvorstadt,48.15561,11.56736,Entire home/apt,200.0,5,2,1,71,0,High price,Short term,Private host
111,Sendling,48.11863,11.54935,Private room,42.0,3,48,1,146,0,Low price,Medium term,Private host
112,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10236,11.52146,Entire home/apt,249.0,3,0,1,363,0,High price,Long term,Private host
113,Pasing-Obermenzing,48.1597,11.45158,Private room,39.0,1,50,3,309,3,Low price,Long term,Commercial host
114,Ramersdorf-Perlach,48.09789,11.63814,Entire home/apt,350.0,2,228,3,270,11,High price,Long term,Commercial host
115,Sendling,48.11295,11.54729,Entire home/apt,55.0,14,41,1,141,4,Low price,Medium term,Private host
116,Neuhausen-Nymphenburg,48.15591,11.50657,Private room,100.0,3,0,2,177,0,Middle price,Medium term,Commercial host
117,Ludwigsvorstadt-Isarvorstadt,48.12434,11.56847,Entire home/apt,100.0,30,14,1,306,0,Middle price,Long term,Private host
118,Maxvorstadt,48.15506,11.57184,Private room,41.0,1,111,1,42,3,Low price,Short term,Private host
119,Pasing-Obermenzing,48.13126,11.47215,Private room,15.0,1,25,1,0,0,Low price,Short term,Private host
120,Laim,48.13155,11.49591,Private room,45.0,3,43,1,104,5,Low price,Medium term,Private host
121,Altstadt-Lehel,48.13469,11.58675,Private room,65.0,1,276,1,212,0,Low price,Long term,Private host
122,Sendling-Westpark,48.11836,11.53062,Private room,170.0,1,0,1,365,0,Middle price,Long term,Private host
123,Au-Haidhausen,48.12289,11.58519,Private room,59.0,5,51,1,90,0,Low price,Short term,Private host
124,Ludwigsvorstadt-Isarvorstadt,48.13819,11.55466,Entire home/apt,290.0,2,35,1,360,1,High price,Long term,Private host
125,Milbertshofen-Am Hart,48.18652,11.5697,Entire home/apt,88.0,3,24,1,0,0,Middle price,Short term,Private host
126,Altstadt-Lehel,48.13997,11.58962,Entire home/apt,129.0,4,31,1,2,1,Middle price,Short term,Private host
127,Schwabing-West,48.16462,11.57532,Entire home/apt,99.0,1,8,1,365,0,Middle price,Long term,Private host
128,Maxvorstadt,48.151,11.56179,Entire home/apt,75.0,3,10,1,178,0,Low price,Medium term,Private host
129,Maxvorstadt,48.15187,11.57975,Entire home/apt,75.0,2,55,1,0,2,Low price,Short term,Private host
130,Schwabing-Freimann,48.16782,11.58614,Private room,47.0,1,213,1,177,3,Low price,Medium term,Private host
131,Bogenhausen,48.14201,11.62044,Private room,40.0,2,230,1,0,11,Low price,Short term,Private host
132,Ramersdorf-Perlach,48.11806,11.62966,Private room,25.0,2,192,1,19,16,Low price,Short term,Private host
133,Schwabing-Freimann,48.16314,11.58301,Private room,65.0,2,65,2,365,0,Low price,Long term,Commercial host
134,Ludwigsvorstadt-Isarvorstadt,48.12059,11.55908,Entire home/apt,95.0,2,87,2,284,5,Middle price,Long term,Commercial host
135,Tudering-Riem,48.10535,11.70017,Private room,40.0,180,17,3,267,0,Low price,Long term,Commercial host
136,Au-Haidhausen,48.13484,11.59489,Entire home/apt,119.0,2,31,1,365,1,Middle price,Long term,Private host
137,Sendling,48.12345,11.54591,Private room,80.0,1,44,2,0,0,Middle price,Short term,Commercial host
138,Altstadt-Lehel,48.13898,11.57606,Entire home/apt,185.0,5,119,1,308,7,Middle price,Long term,Private host
139,Schwabing-West,48.16353,11.56759,Entire home/apt,39.0,1,15,4,119,2,Low price,Medium term,Commercial host
140,Schwabing-West,48.15938,11.56753,Entire home/apt,39.0,1,19,4,362,1,Low price,Long term,Commercial host
141,Schwabing-West,48.15958,11.56781,Entire home/apt,89.0,1,122,4,351,1,Middle price,Long term,Commercial host
142,Pasing-Obermenzing,48.14634,11.45755,Private room,63.0,1,53,1,249,0,Low price,Long term,Private host
143,Schwabing-West,48.15938,11.56026,Entire home/apt,65.0,18,9,2,155,5,Low price,Medium term,Commercial host
144,Schwabing-West,48.16299,11.56826,Entire home/apt,39.0,1,39,4,365,0,Low price,Long term,Commercial host
145,Sendling,48.12383,11.54762,Private room,80.0,1,30,2,0,0,Middle price,Short term,Commercial host
146,Ludwigsvorstadt-Isarvorstadt,48.12932,11.57239,Private room,150.0,6,0,1,365,0,Middle price,Long term,Private host
147,Altstadt-Lehel,48.13988,11.57701,Entire home/apt,151.0,28,68,1,246,3,Middle price,Long term,Private host
