,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_category,rental_term,host_type
1010,Maxvorstadt,48.14438,11.56033,Entire home/apt,139.0,2,208,1,69,37,Middle price,Short term,Private host
1011,Bogenhausen,48.15282,11.60724,Entire home/apt,98.0,3,83,1,143,9,Middle price,Medium term,Private host
1012,Sendling-Westpark,48.11781,11.52423,Entire home/apt,101.0,30,0,26,365,0,Middle price,Long term,Commercial host
1013,Sendling,48.11217,11.54904,Entire home/apt,85.0,5,0,1,0,0,Middle price,Short term,Private host
1014,Schwabing-West,48.17197,11.56664,Private room,45.0,2,104,1,5,0,Low price,Short term,Private host
1015,Sendling-Westpark,48.11254,11.50449,Private room,50.0,3,14,1,0,0,Low price,Short term,Private host
1016,Maxvorstadt,48.14382,11.56201,Private room,90.0,100,2,1,90,0,Middle price,Short term,Private host
1017,Schwabing-West,48.15909,11.57647,Entire home/apt,250.0,90,4,1,358,0,High price,Long term,Private host
1018,Laim,48.13952,11.51363,Entire home/apt,190.0,3,36,1,337,4,Middle price,Long term,Private host
1019,Pasing-Obermenzing,48.15948,11.44692,Private room,450.0,1,1,1,365,0,High price,Long term,Private host
1020,Neuhausen-Nymphenburg,48.14847,11.5413,Entire home/apt,210.0,2,32,1,84,0,High price,Short term,Private host
1021,Ludwigsvorstadt-Isarvorstadt,48.12082,11.56278,Private room,45.0,14,75,1,46,1,Low price,Short term,Private host
1022,Schwanthalerhöhe,48.14111,11.5295,Entire home/apt,145.0,1,0,2,179,0,Middle price,Medium term,Commercial host
1023,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.10163,11.52358,Entire home/apt,110.0,2,5,1,90,0,Middle price,Short term,Private host
1024,Au-Haidhausen,48.13648,11.60463,Private room,60.0,30,4,1,88,0,Low price,Short term,Private host
1025,Berg am Laim,48.12063,11.63576,Private room,65.0,1,0,1,82,0,Low price,Short term,Private host
1026,Schwabing-West,48.16094,11.5578,Entire home/apt,165.0,1,9,1,365,1,Middle price,Long term,Private host
1027,Ramersdorf-Perlach,48.12235,11.60078,Private room,45.0,2,16,1,357,0,Low price,Long term,Private host
1028,Bogenhausen,48.15099,11.60669,Entire home/apt,98.0,4,16,1,280,2,Middle price,Long term,Private host
1029,Schwabing-West,48.16257,11.57892,Private room,25.0,3,29,3,0,3,Low price,Short term,Commercial host
1030,Obergiesing,48.1181,11.58008,Entire home/apt,144.0,2,20,1,0,0,Middle price,Short term,Private host
1031,Laim,48.13693,11.52065,Entire home/apt,67.0,2,4,1,0,4,Low price,Short term,Private host
1032,Bogenhausen,48.16705,11.64657,Private room,35.0,5,91,1,182,0,Low price,Long term,Private host
1033,Sendling-Westpark,48.11742,11.52623,Entire home/apt,89.0,30,0,26,364,0,Middle price,Long term,Commercial host
1034,Sendling-Westpark,48.11791,11.52443,Entire home/apt,171.0,30,0,26,89,0,Middle price,Short term,Commercial host
1035,Au-Haidhausen,48.12891,11.60312,Entire home/apt,85.0,2,9,1,0,0,Middle price,Short term,Private host
1036,Feldmoching-Hasenbergl,48.21122,11.56056,Entire home/apt,850.0,1,1,1,90,0,High price,Short term,Private host
1037,Maxvorstadt,48.15232,11.5798,Entire home/apt,102.0,2,15,1,0,0,Middle price,Short term,Private host
1038,Milbertshofen-Am Hart,48.18833,11.57938,Entire home/apt,70.0,7,7,1,70,0,Low price,Short term,Private host
1039,Moosach,48.18442,11.53336,Entire home/apt,66.0,7,1,1,0,0,Low price,Short term,Private host
1040,Obergiesing,48.11222,11.57915,Private room,39.0,30,199,2,0,0,Low price,Short term,Commercial host
1041,Schwabing-West,48.16949,11.58062,Entire home/apt,59.0,2,232,1,57,42,Low price,Short term,Private host
1042,Altstadt-Lehel,48.13662,11.57769,Entire home/apt,191.0,3,15,1,10,1,Middle price,Short term,Private host
1043,Au-Haidhausen,48.136,11.60981,Private room,24.0,5,285,1,19,30,Low price,Short term,Private host
1044,Schwabing-West,48.17133,11.56648,Private room,48.0,2,4,1,328,0,Low price,Long term,Private host
1045,Schwanthalerhöhe,48.13036,11.54308,Entire home/apt,1500.0,3,0,1,365,0,High price,Long term,Private host
1046,Maxvorstadt,48.15356,11.56352,Entire home/apt,457.0,1,28,1,355,0,High price,Long term,Private host
1047,Altstadt-Lehel,48.1397,11.59261,Private room,79.0,180,3,2,298,0,Low price,Long term,Commercial host
1048,Neuhausen-Nymphenburg,48.15405,11.5457,Private room,39.0,3,32,1,298,5,Low price,Long term,Private host
1049,Neuhausen-Nymphenburg,48.15881,11.54729,Entire home/apt,72.0,100,3,4,326,0,Low price,Long term,Commercial host
1050,Sendling,48.10698,11.54525,Private room,22.0,80,0,1,178,0,Low price,Medium term,Private host
1051,Tudering-Riem,48.11018,11.68469,Private room,55.0,1,54,1,345,4,Low price,Long term,Private host
1052,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08902,11.51665,Private room,59.0,3,2,1,82,0,Low price,Short term,Private host
1053,Ludwigsvorstadt-Isarvorstadt,48.12882,11.57143,Entire home/apt,99.0,4,6,1,60,1,Middle price,Short term,Private host
1054,Sendling,48.12537,11.54081,Entire home/apt,58.0,2,1,1,41,0,Low price,Short term,Private host
1055,Pasing-Obermenzing,48.14454,11.46453,Private room,45.0,7,9,1,0,0,Low price,Short term,Private host
1056,Tudering-Riem,48.11971,11.66458,Entire home/apt,49.0,3,81,1,35,3,Low price,Short term,Private host
1057,Feldmoching-Hasenbergl,48.21627,11.53627,Private room,43.0,1,26,1,163,0,Low price,Medium term,Private host
1058,Bogenhausen,48.13938,11.61582,Entire home/apt,200.0,2,188,1,0,20,High price,Short term,Private host
1059,Ramersdorf-Perlach,48.08555,11.63977,Private room,85.0,2,1,1,0,0,Middle price,Short term,Private host
1060,Pasing-Obermenzing,48.16546,11.48854,Entire home/apt,126.0,7,8,2,178,0,Middle price,Medium term,Commercial host
1061,Sendling-Westpark,48.11535,11.52208,Entire home/apt,80.0,5,4,1,79,0,Middle price,Short term,Private host
1062,Maxvorstadt,48.15501,11.57515,Private room,37.0,3,14,2,34,1,Low price,Short term,Commercial host
1063,Ludwigsvorstadt-Isarvorstadt,48.13206,11.58275,Entire home/apt,132.0,3,11,1,346,0,Middle price,Long term,Private host
1064,Sendling-Westpark,48.11961,11.52441,Entire home/apt,95.0,30,0,8,365,0,Middle price,Long term,Commercial host
1065,Sendling-Westpark,48.11784,11.5257,Entire home/apt,86.0,30,0,8,365,0,Middle price,Long term,Commercial host
1066,Ramersdorf-Perlach,48.09791,11.60945,Entire home/apt,40.0,120,1,1,89,0,Low price,Short term,Private host
1067,Obergiesing,48.10957,11.59637,Private room,32.0,1,6,1,0,0,Low price,Short term,Private host
1068,Sendling,48.12055,11.55084,Entire home/apt,68.0,120,20,1,267,1,Low price,Long term,Private host
1069,Altstadt-Lehel,48.14027,11.58846,Entire home/apt,115.0,3,5,1,0,0,Middle price,Short term,Private host
1070,Sendling-Westpark,48.1118,11.50856,Private room,161.0,1,61,3,312,2,Middle price,Long term,Commercial host
1071,Sendling-Westpark,48.11982,11.52463,Entire home/apt,94.0,30,0,8,364,0,Middle price,Long term,Commercial host
1072,Sendling-Westpark,48.1159,11.51191,Entire home/apt,102.0,30,4,1,87,0,Middle price,Short term,Private host
1073,Schwabing-Freimann,48.16074,11.58454,Private room,60.0,3,0,2,0,0,Low price,Short term,Commercial host
1074,Bogenhausen,48.14123,11.60479,Entire home/apt,600.0,1,3,1,88,0,High price,Short term,Private host
1075,Neuhausen-Nymphenburg,48.15461,11.53081,Entire home/apt,165.0,4,15,1,358,0,Middle price,Long term,Private host
1076,Ludwigsvorstadt-Isarvorstadt,48.12883,11.5635,Private room,59.0,2,84,1,72,22,Low price,Short term,Private host
1077,Milbertshofen-Am Hart,48.1871,11.56545,Entire home/apt,65.0,3,120,1,51,2,Low price,Short term,Private host
1078,Maxvorstadt,48.15032,11.56278,Entire home/apt,80.0,2,11,1,177,0,Middle price,Medium term,Private host
1079,Pasing-Obermenzing,48.15359,11.45445,Entire home/apt,59.0,3,26,3,269,0,Low price,Long term,Commercial host
1080,Untergiesing-Harlaching,48.11507,11.57042,Entire home/apt,41.0,180,1,4,299,0,Low price,Long term,Commercial host
1081,Maxvorstadt,48.15356,11.56189,Entire home/apt,110.0,2,24,1,0,0,Middle price,Short term,Private host
1082,Sendling-Westpark,48.11953,11.52563,Entire home/apt,80.0,30,1,8,364,0,Middle price,Long term,Commercial host
1083,Ludwigsvorstadt-Isarvorstadt,48.13233,11.57885,Private room,75.0,2,6,2,0,0,Low price,Short term,Commercial host
1084,Schwabing-West,48.1703,11.5641,Entire home/apt,71.0,2,10,6,0,0,Low price,Short term,Commercial host
1085,Sendling-Westpark,48.12262,11.53457,Entire home/apt,35.0,3,10,2,91,0,Low price,Medium term,Commercial host
1086,Untergiesing-Harlaching,48.11622,11.56956,Entire home/apt,59.0,2,4,6,0,0,Low price,Short term,Commercial host
1087,Bogenhausen,48.15704,11.6306,Entire home/apt,59.0,4,28,1,0,7,Low price,Short term,Private host
1088,Sendling-Westpark,48.11377,11.53417,Entire home/apt,75.0,5,9,1,23,2,Low price,Short term,Private host
1089,Neuhausen-Nymphenburg,48.15474,11.53357,Entire home/apt,250.0,5,8,1,0,0,High price,Short term,Private host
1090,Sendling-Westpark,48.1177,11.52524,Entire home/apt,165.0,28,3,26,315,1,Middle price,Long term,Commercial host
1091,Ludwigsvorstadt-Isarvorstadt,48.13099,11.56617,Private room,128.0,2,24,2,180,3,Middle price,Medium term,Commercial host
1092,Maxvorstadt,48.14807,11.57625,Entire home/apt,303.0,1,184,3,280,24,High price,Long term,Commercial host
1093,Sendling-Westpark,48.11961,11.52439,Entire home/apt,85.0,30,0,26,365,0,Middle price,Long term,Commercial host
1094,Au-Haidhausen,48.12676,11.59601,Private room,70.0,4,3,1,87,0,Low price,Short term,Private host
1095,Sendling-Westpark,48.11955,11.52384,Entire home/apt,89.0,30,0,26,364,0,Middle price,Long term,Commercial host
1096,Au-Haidhausen,48.14061,11.59827,Entire home/apt,200.0,2,1,1,0,0,High price,Short term,Private host
1097,Ludwigsvorstadt-Isarvorstadt,48.12693,11.55827,Entire home/apt,80.0,60,0,1,140,0,Middle price,Medium term,Private host
1098,Ramersdorf-Perlach,48.08536,11.64639,Entire home/apt,60.0,2,5,1,0,0,Low price,Short term,Private host
1099,Berg am Laim,48.13098,11.61693,Entire home/apt,555.0,1,133,11,243,15,High price,Long term,Commercial host
1100,Laim,48.13631,11.50992,Shared room,45.0,2,26,1,51,2,Low price,Short term,Private host
1101,Ludwigsvorstadt-Isarvorstadt,48.13804,11.56087,Entire home/apt,85.0,30,117,1,28,0,Middle price,Short term,Private host
1102,Neuhausen-Nymphenburg,48.15823,11.54138,Entire home/apt,88.0,2,7,1,82,0,Middle price,Short term,Private host
1103,Schwabing-Freimann,48.17143,11.60431,Entire home/apt,79.0,3,74,1,337,5,Low price,Long term,Private host
1104,Schwabing-Freimann,48.17969,11.60766,Entire home/apt,68.0,4,87,1,163,2,Low price,Medium term,Private host
1105,Schwabing-West,48.1602,11.57663,Entire home/apt,40.0,20,4,1,0,0,Low price,Short term,Private host
1106,Schwabing-Freimann,48.20595,11.5932,Private room,35.0,3,140,1,140,5,Low price,Medium term,Private host
1107,Au-Haidhausen,48.12855,11.59354,Entire home/apt,149.0,14,28,1,298,0,Middle price,Long term,Private host
1108,Au-Haidhausen,48.12669,11.60035,Entire home/apt,138.0,2,8,1,70,8,Middle price,Short term,Private host
1109,Ludwigsvorstadt-Isarvorstadt,48.13086,11.56864,Entire home/apt,150.0,4,22,1,0,1,Middle price,Short term,Private host
1110,Schwabing-Freimann,48.16369,11.5834,Private room,54.0,1,17,2,0,0,Low price,Short term,Commercial host
1111,Untergiesing-Harlaching,48.11492,11.57117,Entire home/apt,110.0,5,0,1,179,0,Middle price,Medium term,Private host
1112,Au-Haidhausen,48.1292,11.60091,Entire home/apt,72.0,2,17,1,29,8,Low price,Short term,Private host
1113,Au-Haidhausen,48.13235,11.60438,Entire home/apt,80.0,1,40,1,88,0,Middle price,Short term,Private host
1114,Obergiesing,48.10669,11.58233,Entire home/apt,42.0,180,5,4,32,1,Low price,Short term,Commercial host
1115,Aubing-Lochhausen-Langwied,48.14437,11.42231,Entire home/apt,249.0,4,9,1,362,0,High price,Long term,Private host
1116,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.09808,11.54279,Entire home/apt,90.0,2,0,1,0,0,Middle price,Short term,Private host
1117,Schwabing-Freimann,48.19259,11.58578,Entire home/apt,69.0,4,97,1,0,7,Low price,Short term,Private host
1118,Sendling-Westpark,48.11945,11.52383,Entire home/apt,85.0,30,0,26,180,0,Middle price,Medium term,Commercial host
1119,Pasing-Obermenzing,48.15418,11.4548,Entire home/apt,145.0,90,3,3,143,0,Middle price,Medium term,Commercial host
1120,Laim,48.13964,11.50672,Private room,37.0,2,103,1,0,0,Low price,Short term,Private host
1121,Au-Haidhausen,48.12384,11.58929,Entire home/apt,103.0,3,5,1,5,0,Middle price,Short term,Private host
1122,Ludwigsvorstadt-Isarvorstadt,48.13557,11.56233,Entire home/apt,99.0,2,280,1,163,39,Middle price,Medium term,Private host
1123,Untergiesing-Harlaching,48.08407,11.55263,Private room,40.0,1,22,1,357,0,Low price,Long term,Private host
1124,Obergiesing,48.11362,11.5791,Entire home/apt,79.0,5,14,1,0,0,Low price,Short term,Private host
1125,Obergiesing,48.10669,11.58233,Entire home/apt,36.0,178,0,4,110,0,Low price,Medium term,Commercial host
1126,Maxvorstadt,48.15258,11.56206,Entire home/apt,90.0,2,7,1,0,0,Middle price,Short term,Private host
1127,Sendling-Westpark,48.11741,11.52576,Entire home/apt,85.0,30,0,26,365,0,Middle price,Long term,Commercial host
1128,Bogenhausen,48.16157,11.64737,Entire home/apt,49.0,28,17,1,75,0,Low price,Short term,Private host
1129,Obergiesing,48.10786,11.58265,Entire home/apt,82.0,2,12,6,0,0,Middle price,Short term,Commercial host
1130,Obergiesing,48.10615,11.58134,Entire home/apt,66.0,2,1,6,0,0,Low price,Short term,Commercial host
1131,Maxvorstadt,48.14874,11.56175,Entire home/apt,145.0,2,87,1,117,5,Middle price,Medium term,Private host
1132,Obergiesing,48.09382,11.61271,Private room,45.0,1,64,1,320,7,Low price,Long term,Private host
1133,Aubing-Lochhausen-Langwied,48.17516,11.40809,Entire home/apt,75.0,4,32,1,51,0,Low price,Short term,Private host
1134,Obergiesing,48.11415,11.58452,Entire home/apt,295.0,1,4,2,353,0,High price,Long term,Commercial host
1135,Maxvorstadt,48.15084,11.56007,Private room,41.0,1,114,2,0,28,Low price,Short term,Commercial host
1136,Milbertshofen-Am Hart,48.18338,11.54964,Entire home/apt,80.0,2,125,1,0,2,Middle price,Short term,Private host
1137,Bogenhausen,48.17144,11.63544,Entire home/apt,15.0,2,15,1,0,0,Low price,Short term,Private host
1138,Milbertshofen-Am Hart,48.20452,11.58504,Private room,55.0,1,132,1,88,4,Low price,Short term,Private host
1139,Au-Haidhausen,48.12325,11.58887,Private room,57.0,1,20,1,146,1,Low price,Medium term,Private host
1140,Feldmoching-Hasenbergl,48.21417,11.52819,Private room,50.0,1,5,1,83,0,Low price,Short term,Private host
1141,Schwabing-West,48.1651,11.57624,Entire home/apt,76.0,7,1,1,260,0,Low price,Long term,Private host
1142,Laim,48.13869,11.51977,Entire home/apt,59.0,2,0,1,41,0,Low price,Short term,Private host
1143,Maxvorstadt,48.14493,11.57466,Private room,48.0,3,63,1,24,3,Low price,Short term,Private host
1144,Hadern,48.12005,11.49328,Shared room,25.0,1,12,1,90,1,Low price,Short term,Private host
1145,Maxvorstadt,48.15409,11.57478,Entire home/apt,60.0,2,1,1,358,0,Low price,Long term,Private host
1146,Altstadt-Lehel,48.13872,11.58929,Entire home/apt,108.0,4,13,1,0,0,Middle price,Short term,Private host
1147,Schwabing-West,48.16181,11.57548,Entire home/apt,110.0,90,0,1,151,0,Middle price,Medium term,Private host
1148,Schwanthalerhöhe,48.13292,11.53991,Private room,65.0,1,50,1,179,0,Low price,Medium term,Private host
1149,Laim,48.1336,11.50981,Private room,500.0,2,1,2,365,0,High price,Long term,Commercial host
1150,Bogenhausen,48.15753,11.63305,Entire home/apt,48.0,100,0,4,363,0,Low price,Long term,Commercial host
1151,Neuhausen-Nymphenburg,48.16234,11.54142,Entire home/apt,42.0,100,1,4,361,0,Low price,Long term,Commercial host
1152,Schwanthalerhöhe,48.13796,11.53388,Entire home/apt,55.0,2,6,1,0,0,Low price,Short term,Private host
1153,Ludwigsvorstadt-Isarvorstadt,48.1318,11.57496,Private room,499.0,1,0,1,365,0,High price,Long term,Private host
1154,Neuhausen-Nymphenburg,48.14837,11.53247,Entire home/apt,49.0,14,1,1,0,0,Low price,Short term,Private host
1155,Schwabing-West,48.15804,11.57276,Private room,47.0,1,66,2,80,23,Low price,Short term,Commercial host
1156,Ludwigsvorstadt-Isarvorstadt,48.12689,11.54871,Entire home/apt,244.0,1,273,2,196,55,High price,Long term,Commercial host
1157,Sendling,48.11518,11.55262,Entire home/apt,60.0,2,46,1,0,1,Low price,Short term,Private host
1158,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.0969,11.5,Private room,34.0,1,61,2,51,0,Low price,Short term,Commercial host
1159,Sendling-Westpark,48.11919,11.52577,Entire home/apt,84.0,30,0,8,365,0,Middle price,Long term,Commercial host
1160,Maxvorstadt,48.15447,11.56055,Entire home/apt,250.0,2,66,1,177,0,High price,Medium term,Private host
1161,Moosach,48.18053,11.52559,Entire home/apt,36.0,20,3,2,176,0,Low price,Medium term,Commercial host
1162,Au-Haidhausen,48.12526,11.57972,Private room,100.0,2,10,1,179,0,Middle price,Medium term,Private host
1163,Milbertshofen-Am Hart,48.19621,11.57856,Private room,70.0,1,12,4,365,0,Low price,Long term,Commercial host
1164,Maxvorstadt,48.15075,11.56274,Entire home/apt,75.0,4,19,1,34,2,Low price,Short term,Private host
1165,Berg am Laim,48.12939,11.62379,Entire home/apt,40.0,1,34,1,48,0,Low price,Short term,Private host
1166,Altstadt-Lehel,48.13583,11.5795,Entire home/apt,72.0,100,2,4,245,0,Low price,Long term,Commercial host
1167,Au-Haidhausen,48.1245,11.58986,Entire home/apt,60.0,2,14,1,51,3,Low price,Short term,Private host
1168,Moosach,48.18229,11.51078,Private room,49.0,2,108,2,82,5,Low price,Short term,Commercial host
1169,Sendling-Westpark,48.11724,11.52518,Entire home/apt,89.0,28,1,26,364,0,Middle price,Long term,Commercial host
1170,Neuhausen-Nymphenburg,48.14656,11.51754,Entire home/apt,65.0,5,4,1,0,0,Low price,Short term,Private host
1171,Schwabing-Freimann,48.16308,11.58621,Entire home/apt,190.0,5,8,1,82,2,Middle price,Short term,Private host
1172,Milbertshofen-Am Hart,48.21385,11.56845,Entire home/apt,119.0,4,12,1,0,4,Middle price,Short term,Private host
1173,Untergiesing-Harlaching,48.09556,11.57511,Private room,50.0,1,27,2,71,3,Low price,Short term,Commercial host
1174,Maxvorstadt,48.14271,11.58346,Private room,80.0,1,36,1,1,0,Middle price,Short term,Private host
1175,Altstadt-Lehel,48.13503,11.58035,Entire home/apt,90.0,2,9,1,0,0,Middle price,Short term,Private host
1176,Obergiesing,48.10725,11.58326,Private room,50.0,30,5,2,320,1,Low price,Long term,Commercial host
1177,Bogenhausen,48.15365,11.63834,Entire home/apt,75.0,1,144,1,44,0,Low price,Short term,Private host
1178,Schwabing-Freimann,48.17084,11.60184,Entire home/apt,119.0,2,100,1,190,17,Middle price,Long term,Private host
1179,Altstadt-Lehel,48.13507,11.57964,Entire home/apt,126.0,2,24,1,0,0,Middle price,Short term,Private host
1180,Neuhausen-Nymphenburg,48.15034,11.53705,Entire home/apt,102.0,7,34,1,153,7,Middle price,Medium term,Private host
1181,Ludwigsvorstadt-Isarvorstadt,48.12562,11.55161,Entire home/apt,69.0,2,1,1,67,0,Low price,Short term,Private host
1182,Neuhausen-Nymphenburg,48.14866,11.5364,Private room,59.0,2,24,1,0,0,Low price,Short term,Private host
1183,Neuhausen-Nymphenburg,48.1541,11.5399,Entire home/apt,280.0,2,3,2,69,0,High price,Short term,Commercial host
1184,Obergiesing,48.10747,11.58379,Private room,50.0,30,9,2,320,0,Low price,Long term,Commercial host
1185,Maxvorstadt,48.15587,11.566,Entire home/apt,125.0,30,5,1,16,1,Middle price,Short term,Private host
1186,Pasing-Obermenzing,48.16165,11.44912,Shared room,60.0,1,1,1,364,0,Low price,Long term,Private host
1187,Schwanthalerhöhe,48.13579,11.54514,Private room,64.0,2,29,1,87,5,Low price,Short term,Private host
1188,Sendling,48.11702,11.54967,Private room,54.0,2,1,1,0,0,Low price,Short term,Private host
1189,Laim,48.13152,11.50148,Entire home/apt,72.0,5,7,1,0,1,Low price,Short term,Private host
1190,Maxvorstadt,48.15186,11.5636,Entire home/apt,85.0,5,11,1,179,0,Middle price,Medium term,Private host
1191,Ludwigsvorstadt-Isarvorstadt,48.12859,11.56153,Entire home/apt,109.0,14,1,1,90,0,Middle price,Short term,Private host
1192,Schwabing-West,48.15929,11.57058,Entire home/apt,179.0,1,54,1,59,17,Middle price,Short term,Private host
1193,Sendling-Westpark,48.11749,11.52595,Entire home/apt,94.0,30,0,8,364,0,Middle price,Long term,Commercial host
1194,Ludwigsvorstadt-Isarvorstadt,48.13551,11.5609,Entire home/apt,160.0,2,193,3,323,24,Middle price,Long term,Commercial host
1195,Milbertshofen-Am Hart,48.18038,11.56476,Entire home/apt,78.0,2,1,1,0,0,Low price,Short term,Private host
1196,Schwabing-West,48.16351,11.56961,Entire home/apt,50.0,3,1,1,101,0,Low price,Medium term,Private host
1197,Ludwigsvorstadt-Isarvorstadt,48.13246,11.58082,Entire home/apt,59.0,2,23,1,0,8,Low price,Short term,Private host
1198,Moosach,48.17881,11.52177,Entire home/apt,60.0,29,10,1,0,0,Low price,Short term,Private host
1199,Maxvorstadt,48.14795,11.56069,Entire home/apt,82.0,7,29,1,6,6,Middle price,Short term,Private host
1200,Schwabing-West,48.158,11.57465,Entire home/apt,115.0,1,4,1,178,0,Middle price,Medium term,Private host
1201,Feldmoching-Hasenbergl,48.22291,11.562,Private room,27.0,6,25,1,309,0,Low price,Long term,Private host
1202,Untergiesing-Harlaching,48.10018,11.55899,Entire home/apt,40.0,3,15,1,0,0,Low price,Short term,Private host
1203,Hadern,48.12788,11.48424,Private room,51.0,2,45,1,253,1,Low price,Long term,Private host
1204,Neuhausen-Nymphenburg,48.15665,11.53721,Private room,100.0,2,18,2,180,0,Middle price,Medium term,Commercial host
1205,Maxvorstadt,48.15051,11.57423,Entire home/apt,70.0,5,6,1,2,0,Low price,Short term,Private host
1206,Feldmoching-Hasenbergl,48.19522,11.54564,Shared room,100.0,2,9,1,51,0,Middle price,Short term,Private host
1207,Schwabing-West,48.16252,11.56266,Private room,72.0,2,5,1,89,0,Low price,Short term,Private host
1208,Laim,48.14041,11.51028,Private room,45.0,2,54,1,0,0,Low price,Short term,Private host
1209,Schwabing-West,48.16583,11.55998,Entire home/apt,150.0,3,7,1,4,0,Middle price,Short term,Private host
1210,Laim,48.13679,11.50395,Private room,53.0,2,39,1,113,0,Low price,Medium term,Private host
1211,Au-Haidhausen,48.1328,11.60814,Entire home/apt,45.0,5,7,1,1,4,Low price,Short term,Private host
1212,Ludwigsvorstadt-Isarvorstadt,48.12115,11.56119,Entire home/apt,119.0,7,9,1,82,0,Middle price,Short term,Private host
1213,Tudering-Riem,48.1171,11.6954,Private room,165.0,2,2,1,178,0,Middle price,Medium term,Private host
1214,Berg am Laim,48.11876,11.63241,Private room,400.0,2,5,2,365,0,High price,Long term,Commercial host
1215,Maxvorstadt,48.15691,11.56219,Entire home/apt,108.0,2,19,1,0,0,Middle price,Short term,Private host
1216,Berg am Laim,48.11924,11.6352,Private room,51.0,1,12,2,87,1,Low price,Short term,Commercial host
1217,Altstadt-Lehel,48.13872,11.56675,Entire home/apt,90.0,5,18,1,173,0,Middle price,Medium term,Private host
1218,Au-Haidhausen,48.12745,11.59478,Private room,49.0,1,52,1,71,15,Low price,Short term,Private host
1219,Ludwigsvorstadt-Isarvorstadt,48.12422,11.56604,Private room,150.0,1,5,1,88,0,Middle price,Short term,Private host
1220,Altstadt-Lehel,48.13327,11.57311,Entire home/apt,145.0,3,66,1,28,1,Middle price,Short term,Private host
1221,Milbertshofen-Am Hart,48.20134,11.58534,Entire home/apt,45.0,25,20,5,0,1,Low price,Short term,Commercial host
1222,Schwabing-West,48.15986,11.56771,Entire home/apt,178.0,3,1,1,364,0,Middle price,Long term,Private host
1223,Laim,48.13089,11.50606,Entire home/apt,60.0,2,1,1,17,0,Low price,Short term,Private host
1224,Schwabing-West,48.16533,11.55816,Entire home/apt,79.0,7,15,1,7,1,Low price,Short term,Private host
1225,Untergiesing-Harlaching,48.10606,11.5724,Entire home/apt,50.0,2,11,1,0,5,Low price,Short term,Private host
1226,Ramersdorf-Perlach,48.11771,11.60013,Entire home/apt,99.0,2,58,1,287,11,Middle price,Long term,Private host
1227,Schwabing-Freimann,48.17732,11.59701,Private room,56.0,2,63,3,296,6,Low price,Long term,Commercial host
1228,Neuhausen-Nymphenburg,48.16271,11.5463,Entire home/apt,49.0,2,5,1,0,0,Low price,Short term,Private host
1229,Sendling-Westpark,48.11847,11.53549,Entire home/apt,185.0,3,3,1,5,0,Middle price,Short term,Private host
1230,Obergiesing,48.11458,11.58268,Private room,60.0,1,17,2,81,0,Low price,Short term,Commercial host
1231,Schwabing-West,48.16148,11.56363,Entire home/apt,70.0,4,5,1,119,0,Low price,Medium term,Private host
1232,Tudering-Riem,48.10617,11.7046,Private room,45.0,2,11,1,89,2,Low price,Short term,Private host
1233,Sendling-Westpark,48.1198,11.52568,Entire home/apt,72.0,30,2,26,365,0,Low price,Long term,Commercial host
1234,Ludwigsvorstadt-Isarvorstadt,48.12676,11.55326,Entire home/apt,127.0,1,99,21,52,6,Middle price,Short term,Commercial host
1235,Ludwigsvorstadt-Isarvorstadt,48.13023,11.55955,Private room,200.0,2,2,2,362,0,High price,Long term,Commercial host
1236,Schwabing-West,48.17432,11.58156,Entire home/apt,65.0,5,5,1,0,1,Low price,Short term,Private host
1237,Ramersdorf-Perlach,48.097439,11.646512,Entire home/apt,87.0,1,161,8,324,2,Middle price,Long term,Commercial host
1238,Au-Haidhausen,48.12963,11.60374,Private room,40.0,3,3,4,364,1,Low price,Long term,Commercial host
1239,Au-Haidhausen,48.12963,11.60374,Private room,45.0,3,8,4,365,1,Low price,Long term,Commercial host
1240,Au-Haidhausen,48.12963,11.60374,Private room,35.0,3,1,4,364,0,Low price,Long term,Commercial host
1241,Allach-Untermenzing,48.19867,11.46612,Private room,68.0,1,12,1,0,0,Low price,Short term,Private host
1242,Ramersdorf-Perlach,48.097439,11.646512,Entire home/apt,89.0,1,172,8,274,16,Middle price,Long term,Commercial host
1243,Obergiesing,48.10918,11.58628,Private room,150.0,1,6,1,363,0,Middle price,Long term,Private host
1244,Au-Haidhausen,48.12144,11.57832,Entire home/apt,1450.0,3,12,1,360,0,High price,Long term,Private host
1245,Sendling-Westpark,48.11525,11.52357,Entire home/apt,360.0,3,38,1,82,0,High price,Short term,Private host
1246,Sendling-Westpark,48.11528,11.50896,Private room,45.0,1,3,1,51,1,Low price,Short term,Private host
1247,Moosach,48.17969,11.49088,Private room,59.0,17,0,1,173,0,Low price,Medium term,Private host
1248,Ludwigsvorstadt-Isarvorstadt,48.13578,11.55769,Private room,111.0,2,20,3,168,0,Middle price,Medium term,Commercial host
1249,Altstadt-Lehel,48.14286,11.59234,Entire home/apt,90.0,180,0,1,180,0,Middle price,Medium term,Private host
