,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,clusters,cluster
157,78.0,7,37,1,349,2,dark purple
158,58.0,1,20,1,106,0,pink
159,129.0,2,1,1,364,2,dark purple
160,118.0,3,19,1,39,0,pink
161,79.0,2,8,1,363,2,dark purple
162,39.0,2,326,2,21,0,pink
163,69.0,1,275,1,363,2,dark purple
164,39.0,2,209,2,21,0,pink
165,48.0,3,36,1,208,2,dark purple
166,35.0,60,35,2,162,0,pink
167,229.0,4,60,1,0,0,pink
168,450.0,4,16,6,269,2,dark purple
169,112.0,3,41,1,359,2,dark purple
170,91.0,7,4,1,267,2,dark purple
171,31.0,90,1,1,267,2,dark purple
172,99.0,3,178,2,221,2,dark purple
173,99.0,3,156,2,285,2,dark purple
174,99.0,1,274,4,310,2,dark purple
175,99.0,1,297,4,316,2,dark purple
176,120.0,1,523,11,228,2,dark purple
177,135.0,2,123,2,52,0,pink
178,22.0,31,126,1,216,2,dark purple
179,75.0,1,44,6,346,2,dark purple
180,120.0,7,0,4,357,2,dark purple
181,50.0,2,535,1,68,0,pink
182,179.0,2,43,1,357,2,dark purple
183,220.0,2,169,1,124,0,pink
184,44.0,2,115,4,149,0,pink
185,189.0,5,20,1,0,0,pink
186,35.0,1,765,1,323,2,dark purple
187,119.0,4,84,1,333,2,dark purple
188,35.0,1,363,1,0,0,pink
189,54.0,2,2,1,363,2,dark purple
190,55.0,2,26,2,332,2,dark purple
191,120.0,5,51,1,90,0,pink
192,450.0,2,0,1,365,2,dark purple
193,125.0,4,25,1,106,0,pink
194,78.0,2,23,1,364,2,dark purple
195,35.0,22,29,2,0,0,pink
196,280.0,5,0,1,178,2,dark purple
197,100.0,3,13,1,12,0,pink
198,100.0,5,4,1,72,0,pink
199,44.0,2,569,4,50,0,pink
200,90.0,5,8,1,0,0,pink
201,119.0,1,73,3,321,2,dark purple
202,69.0,90,39,2,303,2,dark purple
203,35.0,100,158,1,365,2,dark purple
204,51.0,2,186,2,249,2,dark purple
205,70.0,3,52,1,0,0,pink
206,191.0,2,192,1,111,0,pink
207,45.0,1,11,4,365,2,dark purple
208,85.0,3,127,1,269,2,dark purple
209,59.0,2,79,1,76,0,pink
210,55.0,30,3,3,327,2,dark purple
211,55.0,21,129,1,44,0,pink
212,105.0,14,14,1,165,0,pink
213,52.0,1,63,1,355,2,dark purple
214,71.0,1,0,1,365,2,dark purple
215,199.0,3,52,1,29,0,pink
216,37.0,1,35,3,268,2,dark purple
217,240.0,5,5,1,314,2,dark purple
218,38.0,1,38,2,0,0,pink
219,44.0,1,58,2,0,0,pink
220,129.0,4,17,1,332,2,dark purple
221,129.0,2,24,1,355,2,dark purple
222,69.0,2,130,1,0,0,pink
223,235.0,3,4,2,354,2,dark purple
224,60.0,1,60,1,145,0,pink
225,39.0,1,38,3,326,2,dark purple
226,28.0,21,60,2,31,0,pink
227,35.0,21,70,2,149,0,pink
228,120.0,1,0,1,365,2,dark purple
229,45.0,2,226,1,20,0,pink
230,263.0,1,1,1,179,2,dark purple
231,240.0,3,0,1,365,2,dark purple
232,44.0,3,120,4,172,0,pink
233,45.0,3,185,4,165,0,pink
234,47.0,20,146,1,267,2,dark purple
235,80.0,3,8,1,365,2,dark purple
236,290.0,1,0,1,365,2,dark purple
237,120.0,2,36,2,98,0,pink
238,166.0,3,24,1,0,0,pink
239,66.0,2,3,4,187,0,pink
240,60.0,2,6,4,45,0,pink
241,66.0,2,13,4,189,0,pink
242,73.0,7,5,1,288,2,dark purple
243,80.0,30,0,1,88,0,pink
244,100.0,3,2,1,18,0,pink
245,43.0,30,35,1,184,0,pink
246,127.0,1,0,1,365,2,dark purple
247,49.0,1,366,1,349,2,dark purple
248,79.0,1,5,1,363,2,dark purple
249,57.0,2,34,1,63,0,pink
250,45.0,120,8,1,96,0,pink
251,119.0,3,37,1,365,2,dark purple
252,85.0,1,0,1,364,2,dark purple
253,134.0,90,2,4,365,2,dark purple
254,75.0,2,10,1,0,0,pink
255,65.0,2,194,2,112,0,pink
256,50.0,20,6,1,0,0,pink
257,79.0,1,4,2,365,2,dark purple
258,73.0,4,26,1,325,2,dark purple
259,86.0,2,26,1,362,2,dark purple
260,69.0,1,2,4,365,2,dark purple
261,135.0,3,97,4,172,0,pink
262,50.0,2,28,1,58,0,pink
263,76.0,1,4,1,0,0,pink
264,80.0,1,0,1,365,2,dark purple
265,49.0,7,20,2,0,0,pink
266,75.0,1,39,1,355,2,dark purple
267,110.0,3,25,1,231,2,dark purple
268,149.0,2,23,1,0,0,pink
269,150.0,3,6,1,251,2,dark purple
270,89.0,1,34,1,332,2,dark purple
271,165.0,4,10,2,358,2,dark purple
272,66.0,1,65,1,76,0,pink
273,109.0,1,36,3,362,2,dark purple
274,64.0,2,27,1,363,2,dark purple
275,92.0,3,15,1,0,0,pink
276,95.0,1,6,1,357,2,dark purple
277,106.0,2,33,1,0,0,pink
278,53.0,1,25,1,365,2,dark purple
279,115.0,4,2,6,365,2,dark purple
280,37.0,4,99,1,172,0,pink
281,80.0,2,8,2,365,2,dark purple
282,145.0,2,30,3,364,2,dark purple
283,399.0,2,0,3,237,2,dark purple
284,35.0,3,8,1,0,0,pink
285,120.0,7,0,4,365,2,dark purple
286,142.0,2,5,1,346,2,dark purple
287,80.0,1,28,1,358,2,dark purple
288,135.0,2,65,1,310,2,dark purple
289,35.0,14,4,1,23,0,pink
290,60.0,1,30,2,180,0,pink
291,50.0,7,1,1,0,0,pink
292,128.0,1,615,11,161,2,dark purple
293,70.0,3,17,1,0,0,pink
294,100.0,5,7,1,0,0,pink
295,48.0,2,19,2,0,0,pink
296,50.0,2,160,2,350,2,dark purple
297,150.0,3,25,1,53,0,pink
298,55.0,180,33,1,268,2,dark purple
299,80.0,5,19,1,0,0,pink
300,90.0,3,15,2,0,0,pink
301,289.0,1,3,6,52,0,pink
302,35.0,2,35,2,20,0,pink
303,140.0,2,36,1,334,2,dark purple
304,59.0,1,43,2,89,0,pink
305,49.0,3,122,1,77,0,pink
306,139.0,3,209,1,87,0,pink
307,35.0,25,24,1,48,0,pink
308,39.0,4,159,1,334,2,dark purple
309,610.0,1,0,1,365,2,dark purple
310,120.0,3,17,2,0,0,pink
311,260.0,4,16,1,51,0,pink
312,60.0,60,10,1,266,2,dark purple
313,79.0,5,9,1,330,2,dark purple
314,70.0,1,91,1,63,0,pink
315,85.0,2,67,1,0,0,pink
316,108.0,3,62,1,76,0,pink
317,46.0,82,496,1,8,0,pink
318,50.0,3,118,1,87,0,pink
319,88.0,1,3,1,364,2,dark purple
320,135.0,1,346,1,315,2,dark purple
321,33.0,1,4,1,364,2,dark purple
322,85.0,99,21,1,173,0,pink
323,120.0,2,16,1,179,0,pink
324,200.0,3,62,1,89,0,pink
325,42.0,21,14,1,83,0,pink
326,68.0,7,20,1,0,0,pink
327,44.0,2,289,1,216,2,dark purple
328,250.0,90,3,1,362,2,dark purple
329,181.0,2,328,2,268,2,dark purple
330,180.0,3,35,1,364,2,dark purple
331,60.0,2,62,2,362,2,dark purple
332,200.0,2,2,1,87,0,pink
333,150.0,2,86,1,0,0,pink
334,55.0,14,24,1,233,2,dark purple
335,350.0,5,0,1,87,0,pink
336,35.0,7,0,1,218,2,dark purple
337,30.0,1,0,4,0,0,pink
338,49.0,5,28,1,0,0,pink
339,90.0,2,50,1,0,0,pink
340,87.0,7,17,1,14,0,pink
341,34.0,3,158,1,61,0,pink
342,150.0,3,87,1,26,0,pink
343,206.0,2,27,2,268,2,dark purple
344,49.0,180,21,2,341,2,dark purple
345,185.0,4,34,2,9,0,pink
346,199.0,2,13,1,336,2,dark purple
347,70.0,2,39,1,84,0,pink
348,57.0,5,22,2,234,2,dark purple
349,52.0,2,20,1,204,2,dark purple
350,40.0,2,12,1,338,2,dark purple
351,150.0,2,34,2,55,0,pink
352,45.0,1,50,1,326,2,dark purple
353,72.0,7,4,1,0,0,pink
354,46.0,2,258,1,313,2,dark purple
355,31.0,3,91,3,89,0,pink
356,36.0,1,479,1,141,0,pink
357,50.0,365,0,1,357,2,dark purple
358,76.0,5,105,1,14,0,pink
359,81.0,2,293,2,0,0,pink
360,60.0,4,61,1,187,0,pink
361,83.0,3,73,1,12,0,pink
362,45.0,7,9,1,0,0,pink
363,145.0,2,105,1,0,0,pink
364,35.0,60,4,2,150,0,pink
365,105.0,7,1,1,0,0,pink
366,120.0,2,54,2,261,2,dark purple
367,62.0,2,116,1,326,2,dark purple
368,89.0,2,89,1,246,2,dark purple
369,37.0,3,36,1,267,2,dark purple
370,99.0,3,126,1,258,2,dark purple
371,135.0,1,25,1,364,2,dark purple
372,25.0,14,24,1,103,0,pink
373,40.0,90,1,1,268,2,dark purple
374,400.0,2,2,2,364,2,dark purple
375,300.0,1,2,1,365,2,dark purple
376,75.0,14,6,1,22,0,pink
377,40.0,2,176,2,297,2,dark purple
378,70.0,2,39,1,353,2,dark purple
379,100.0,1,0,1,87,0,pink
380,95.0,2,16,1,27,0,pink
381,89.0,2,348,1,333,2,dark purple
382,67.0,1,244,1,0,0,pink
383,399.0,2,5,1,365,2,dark purple
384,140.0,1,20,1,81,0,pink
385,53.0,1,23,1,0,0,pink
386,44.0,1,46,3,361,2,dark purple
387,245.0,2,4,1,270,2,dark purple
388,80.0,1,14,2,365,2,dark purple
389,120.0,2,4,1,0,0,pink
390,39.0,2,252,1,146,0,pink
391,63.0,2,9,1,69,0,pink
392,87.0,30,66,1,112,0,pink
393,45.0,2,37,1,8,0,pink
394,37.0,1,38,2,341,2,dark purple
395,37.0,1,60,2,354,2,dark purple
396,130.0,2,13,1,0,0,pink
397,72.0,3,14,1,22,0,pink
398,135.0,2,34,1,89,0,pink
399,350.0,2,13,1,0,0,pink
400,101.0,1,246,1,205,2,dark purple
401,65.0,28,75,1,82,0,pink
402,141.0,2,335,5,156,0,pink
403,41.0,5,31,2,130,0,pink
404,100.0,5,3,1,0,0,pink
405,189.0,1,0,1,365,2,dark purple
406,550.0,2,28,1,352,2,dark purple
407,194.0,100,15,1,364,2,dark purple
408,160.0,2,1,1,365,2,dark purple
409,60.0,2,25,1,110,0,pink
410,78.0,2,24,1,365,2,dark purple
411,90.0,1,1,1,364,2,dark purple
412,55.0,2,5,1,357,2,dark purple
413,400.0,7,33,1,172,2,dark purple
414,36.0,2,17,3,361,2,dark purple
415,96.0,4,169,1,14,0,pink
416,67.0,7,5,1,364,2,dark purple
417,157.0,2,10,1,364,2,dark purple
418,28.0,14,49,1,0,0,pink
419,120.0,3,6,1,363,2,dark purple
420,90.0,3,10,1,0,0,pink
421,125.0,2,0,1,173,0,pink
422,320.0,1,17,1,0,0,pink
423,173.0,2,2,1,365,2,dark purple
424,50.0,2,41,1,315,2,dark purple
425,75.0,1,49,1,365,2,dark purple
426,89.0,2,12,3,82,0,pink
427,104.0,3,154,1,0,0,pink
428,219.0,1,34,1,347,2,dark purple
429,58.0,1,10,1,87,0,pink
430,50.0,2,55,1,357,2,dark purple
431,420.0,1,0,2,365,2,dark purple
432,111.0,1,14,1,362,2,dark purple
433,139.0,1,1,1,90,0,pink
434,60.0,1,48,1,0,0,pink
435,150.0,3,163,1,345,2,dark purple
436,68.0,1,47,1,357,2,dark purple
437,52.0,2,14,1,6,0,pink
438,45.0,7,4,1,82,0,pink
439,85.0,10,78,1,172,0,pink
440,190.0,2,0,2,364,2,dark purple
